City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.08,Scoop Guest House
8,Morehead,US,80.6,clear sky,37.27,-87.18,CCI Express Inn
11,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
14,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
19,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
20,Pemangkat,ID,76.37,overcast clouds,1.17,108.97,Kost H.Syamsuddin
21,Mecca,SA,86.47,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
23,Kapaa,US,86.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
28,Karratha,AU,76.77,clear sky,-20.74,116.85,ibis Styles Karratha
30,Atuona,PF,78.39,light rain,-9.8,-139.03,Villa Enata
31,Butaritari,KI,83.64,overcast clouds,3.07,172.79,Isles Sunset Lodge
45,Puro,PH,76.96,light rain,12.48,123.38,
46,Beni Mazar,EG,78.44,clear sky,28.5,30.8,مسجد الشيخ ابوالليل
48,Hilo,US,86.0,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
55,Quelimane,MZ,77.0,scattered clouds,-17.88,36.89,Hotel Flamingo
62,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
65,Dingle,PH,75.7,light rain,11.0,122.67,Camp Pasica
66,Nova Olimpia,BR,88.11,clear sky,-14.8,-57.29,Motel glamour
69,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
75,Cabo San Lucas,MX,89.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
79,Georgetown,MY,78.01,few clouds,5.41,100.34,Cititel Penang
83,Grand-Santi,GF,75.85,moderate rain,4.25,-54.38,Hotel La Villa Couacou
84,Shenjiamen,CN,77.74,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
85,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
86,Pandan,PH,81.41,moderate rain,14.05,124.17,Bonifacio Lodge
95,Jasper,US,84.2,few clouds,37.2,-94.35,Guest House Motel
100,Pitimbu,BR,75.2,clear sky,-7.47,-34.81,Reserva do Abiaí
101,Griffith,US,79.0,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
104,Faanui,PF,78.03,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Buraydah,SA,86.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
110,Mozarlandia,BR,87.71,clear sky,-14.74,-50.57,Hotel Santa Mônica
112,Brokopondo,SR,81.97,broken clouds,4.75,-55.17,Matu Island
118,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
121,Irbil,IQ,77.0,clear sky,36.19,44.01,Erbil International Hotel
123,Gat,IL,81.0,clear sky,31.61,34.76,OlusHome
128,Pano Aqil,PK,84.2,haze,27.86,69.11,R.S COTTAGE
130,Calabozo,VE,81.64,light rain,8.92,-67.43,Hotel Giardini
134,Les Cayes,HT,84.7,light rain,18.2,-73.75,Villa Orphee
141,Kandrian,PG,81.09,overcast clouds,-6.22,149.55,Kandrian Station
142,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
147,Itoman,JP,82.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
151,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
161,El Cobre,CU,86.0,scattered clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
162,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
171,Sulangan,PH,81.7,light rain,11.14,123.72,Maia's Beach Resort
173,Puerto Madero,MX,84.2,broken clouds,14.72,-92.42,Hotel La Central
174,Marsh Harbour,BS,83.61,broken clouds,26.54,-77.06,Abaco Beach Resort
179,Kutum,SD,76.96,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
191,Planaltina,BR,78.8,clear sky,-15.45,-47.61,Retiro Maranata
194,Yola,NG,75.02,moderate rain,9.2,12.48,Muna Hotel
