City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pirovskoye,RU,57.63,92.27,47.32,92,47,8.25,scattered clouds
1,Abomsa,ET,9.98,39.98,71.38,64,74,5.32,light rain
2,Yellowknife,CA,62.46,-114.35,37.4,37,20,8.05,few clouds
3,Vaini,TO,-21.2,-175.2,75.2,78,40,13.87,scattered clouds
4,Hithadhoo,MV,-0.6,73.08,81.18,72,91,7.38,overcast clouds
5,Albany,US,42.6,-73.97,60.01,54,90,4.7,smoke
6,Nikolskoye,RU,59.7,30.79,48.99,87,99,2.17,fog
7,Kaitangata,NZ,-46.28,169.85,50.16,64,62,23.98,broken clouds
8,Morehead,US,37.27,-87.18,80.6,60,1,4.7,clear sky
9,Ushuaia,AR,-54.8,-68.3,37.4,69,40,18.34,scattered clouds
10,Thompson,CA,55.74,-97.86,50.0,53,75,16.11,broken clouds
11,Puerto Ayora,EC,-0.74,-90.35,78.8,57,20,23.04,few clouds
12,Viedma,AR,-40.81,-63.0,51.01,68,93,1.99,moderate rain
13,Qaanaaq,GL,77.48,-69.36,19.98,81,0,2.35,clear sky
14,Alofi,NU,-19.06,-169.92,78.8,65,75,19.46,broken clouds
15,Esperance,AU,-33.87,121.9,57.2,93,90,13.87,overcast clouds
16,Ulladulla,AU,-35.35,150.47,62.6,77,0,5.82,clear sky
17,Bad Mergentheim,DE,49.49,9.77,64.99,77,18,2.24,few clouds
18,Poum,NC,-20.23,164.02,72.68,72,100,18.07,overcast clouds
19,Avarua,CK,-21.21,-159.78,78.8,65,76,14.99,broken clouds
20,Pemangkat,ID,1.17,108.97,76.37,90,98,6.29,overcast clouds
21,Mecca,SA,21.43,39.83,86.47,60,12,4.5,few clouds
22,Westport,US,41.14,-73.36,64.4,39,1,4.7,clear sky
23,Kapaa,US,22.08,-159.32,86.0,62,75,9.17,broken clouds
24,Upernavik,GL,72.79,-56.15,27.81,85,0,10.31,clear sky
25,Atar,MR,20.52,-13.05,99.55,18,2,5.99,clear sky
26,Bluff,NZ,-46.6,168.33,50.0,79,100,11.99,moderate rain
27,Luderitz,NA,-26.65,15.16,54.73,74,0,15.3,clear sky
28,Karratha,AU,-20.74,116.85,76.77,35,10,8.08,clear sky
29,Sfantu Gheorghe,RO,45.87,25.78,62.01,79,30,1.01,scattered clouds
30,Atuona,PF,-9.8,-139.03,78.39,76,16,18.7,light rain
31,Butaritari,KI,3.07,172.79,83.64,73,90,18.5,overcast clouds
32,Tasiilaq,GL,65.61,-37.64,33.8,94,100,33.33,light snow
33,Mataura,NZ,-46.19,168.86,50.0,79,100,11.99,light rain
34,Punta Arenas,CL,-53.15,-70.92,39.2,60,20,14.99,few clouds
35,Ostrovnoy,RU,68.05,39.51,44.22,79,100,10.42,light rain
36,Rikitea,PF,-23.12,-134.97,73.69,73,8,6.11,clear sky
37,Mackay,AU,-21.15,149.2,71.6,83,90,18.34,overcast clouds
38,Cape Town,ZA,-33.93,18.42,51.01,81,6,2.24,clear sky
39,Tiksi,RU,71.69,128.87,37.87,90,6,0.09,clear sky
40,Mahebourg,MU,-20.41,57.7,68.0,68,75,17.22,broken clouds
41,Cidreira,BR,-30.18,-50.21,59.9,77,100,21.74,moderate rain
42,Srednekolymsk,RU,67.45,153.68,43.7,80,100,7.81,overcast clouds
43,Sekoma,BW,-24.4,23.88,72.37,20,91,8.28,overcast clouds
44,Geraldton,AU,-28.77,114.6,64.4,72,75,14.99,broken clouds
45,Puro,PH,12.48,123.38,76.96,87,100,7.16,light rain
46,Beni Mazar,EG,28.5,30.8,78.44,52,0,17.02,clear sky
47,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,60.66,60,76,8.21,broken clouds
48,Hilo,US,19.73,-155.09,86.0,58,20,10.29,few clouds
49,Saldanha,ZA,-33.01,17.94,44.6,75,0,2.24,clear sky
50,Matola,MZ,-25.96,32.46,71.01,88,75,6.93,broken clouds
51,Waingapu,ID,-9.66,120.26,73.53,83,85,8.75,overcast clouds
52,Coihaique,CL,-45.58,-72.07,44.6,45,40,3.36,scattered clouds
53,Khatanga,RU,71.97,102.5,46.33,89,100,5.95,overcast clouds
54,Carnarvon,AU,-24.87,113.63,64.4,100,0,19.46,clear sky
55,Quelimane,MZ,-17.88,36.89,77.0,94,40,11.41,scattered clouds
56,Tres Arroyos,AR,-38.37,-60.28,54.21,67,8,6.85,clear sky
57,Airai,TL,-8.93,125.41,54.72,68,27,3.06,scattered clouds
